Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,DA Warner,Sunrisers Hyderabad,410,1.4140000000000001,0.22399999999999998,"$1,953,130","$2,742,662"
2,AD Russell,Kolkata Knight Riders,307,1.06,0.242,"$1,328,130","$2,200,658"
3,MS Dhoni,Chennai Super Kings,305,1.053,0.17600000000000002,"$2,343,750","$2,189,940"
4,Imran Tahir,Chennai Super Kings,295,1.018,0.2,"$156,250","$2,136,352"
5,KL Rahul,Kings XI Punjab,288,0.9940000000000001,0.217,"$1,718,750","$2,099,606"
6,K Rabada,Delhi Capitals,268,0.925,0.196,"$656,250","$1,993,961"
7,KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,"$468,750","$1,914,345"
8,JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,"$314,300","$1,756,643"
9,AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,"$1,718,750","$1,594,348"
10,HH Pandya,Mumbai Indians,165,0.568,0.204,"$1,718,750","$1,447,364"
11,S Gopal,Rajasthan Royals,161,0.555,0.166,"$31,250","$1,427,460"
12,CH Gayle,Kings XI Punjab,157,0.542,0.133,"$312,500","$1,407,556"
13,Q de Kock,Mumbai Indians,141,0.486,0.11699999999999999,"$437,500","$1,321,815"
14,RR Pant,Delhi Capitals,127,0.44,0.114,"$2,343,750","$1,251,385"
15,JJ Bumrah,Mumbai Indians,127,0.43799999999999994,0.139,"$1,093,750","$1,248,323"
16,RA Jadeja,Chennai Super Kings,126,0.433,0.14300000000000002,"$1,093,750","$1,240,667"
17,MK Pandey,Sunrisers Hyderabad,122,0.42100000000000004,0.11199999999999999,"$1,718,750","$1,222,294"
18,SV Samson,Rajasthan Royals,120,0.415,0.086,"$1,250,000","$1,213,108"
19,JC Buttler,Rajasthan Royals,117,0.40299999999999997,0.094,"$687,500","$1,194,735"
20,F du Plessis,Chennai Super Kings,114,0.392,0.10099999999999999,"$250,000","$1,177,893"
