Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,CH Gayle,Royal Challengers Bangalore,447,1.729,0.21,"$2,000,000","$2,554,267"
2,MEK Hussey,Chennai Super Kings,414,1.6019999999999999,0.22399999999999998,"$425,000","$2,419,187"
3,V Kohli,Royal Challengers Bangalore,339,1.311,0.179,"$1,800,000","$2,109,674"
4,DJ Bravo,Chennai Super Kings,258,1.001,0.218,"$200,000","$1,779,953"
5,SK Raina,Chennai Super Kings,253,0.981,0.14300000000000002,"$1,300,000","$1,758,680"
6,DA Miller,Kings XI Punjab,245,0.9490000000000001,0.134,"$100,000","$1,724,645"
7,MS Dhoni,Chennai Super Kings,239,0.924,0.139,"$3,000,000","$1,698,054"
8,SR Watson,Rajasthan Royals,226,0.8759999999999999,0.213,"$1,300,000","$1,647,000"
9,JP Faulkner,Rajasthan Royals,214,0.8290000000000001,0.207,"$400,000","$1,597,010"
10,RG Sharma,Mumbai Indians,212,0.82,0.121,"$2,000,000","$1,587,438"
11,A Mishra,Sunrisers Hyderabad,168,0.6509999999999999,0.14,"$300,000","$1,407,686"
12,Harbhajan Singh,Mumbai Indians,168,0.65,0.138,"$1,300,000","$1,406,623"
13,KA Pollard,Mumbai Indians,164,0.634,0.17,"$900,000","$1,389,605"
14,MM Sharma,Chennai Super Kings,150,0.5820000000000001,0.122,NA,"$1,334,297"
15,SP Narine,Kolkata Knight Riders,143,0.555,0.132,"$700,000","$1,305,579"
16,AM Rahane,Rajasthan Royals,142,0.551,0.109,"$60,000","$1,301,324"
17,S Dhawan,Sunrisers Hyderabad,138,0.535,0.1,"$300,000","$1,284,307"
18,AB de Villiers,Royal Challengers Bangalore,138,0.5329999999999999,0.079,"$1,100,000","$1,282,179"
19,R Vinay Kumar,Royal Challengers Bangalore,134,0.52,0.158,"$1,000,000","$1,268,352"
20,BJ Hodge,Rajasthan Royals,117,0.45299999999999996,0.08199999999999999,"$475,000","$1,197,090"
21,DW Steyn,Sunrisers Hyderabad,111,0.429,0.141,"$1,200,000","$1,171,563"
22,DA Warner,Delhi Daredevils,110,0.424,0.095,"$750,000","$1,166,245"
23,KD Karthik,Mumbai Indians,109,0.42100000000000004,0.10400000000000001,"$1,200,000","$1,163,054"
24,SE Marsh,Kings XI Punjab,102,0.396,0.087,"$400,000","$1,136,464"
25,R Dravid,Rajasthan Royals,101,0.389,0.098,"$500,000","$1,129,018"
26,MG Johnson,Mumbai Indians,97,0.375,0.162,"$300,000","$1,114,128"
27,RV Uthappa,Pune Warriors,89,0.345,0.1,"$2,100,000","$1,082,219"
28,AJ Finch,Pune Warriors,87,0.336,0.10300000000000001,"$300,000","$1,072,646"
29,STR Binny,Rajasthan Royals,86,0.331,0.111,NA,"$1,067,328"
30,DJG Sammy,Sunrisers Hyderabad,85,0.32899999999999996,0.107,"$425,000","$1,065,201"
31,DR Smith,Mumbai Indians,84,0.326,0.11699999999999999,"$100,000","$1,062,010"
32,MC Henriques,Royal Challengers Bangalore,84,0.324,0.086,"$300,000","$1,059,883"
33,Sandeep Sharma,Kings XI Punjab,81,0.312,0.054000000000000006,NA,"$1,047,120"
34,Z Khan,Royal Challengers Bangalore,78,0.304,0.067,"$900,000","$1,038,611"
35,YK Pathan,Kolkata Knight Riders,62,0.242,0.08800000000000001,"$2,100,000","$972,666"
36,G Gambhir,Kolkata Knight Riders,61,0.237,0.091,"$2,400,000","$967,348"
37,SPD Smith,Pune Warriors,60,0.233,0.045,NA,"$963,094"
38,EJG Morgan,Kolkata Knight Riders,60,0.23199999999999998,0.066,"$350,000","$962,030"
39,DS Kulkarni,Mumbai Indians,56,0.215,0.054000000000000006,NA,"$943,949"
40,KV Sharma,Sunrisers Hyderabad,55,0.21100000000000002,0.096,NA,"$939,694"
41,Iqbal Abdulla,Kolkata Knight Riders,39,0.151,0.044000000000000004,NA,"$875,877"
42,BJ Rohrer,Delhi Daredevils,37,0.142,0.043,NA,"$866,305"
43,Harmeet Singh,Kings XI Punjab,34,0.132,0.037000000000000005,NA,"$855,668"
44,Harmeet Singh,Rajasthan Royals,34,0.132,0.037000000000000005,NA,"$855,668"
45,AN Ahmed,Mumbai Indians,29,0.113,0.018000000000000002,NA,"$835,460"
46,SMSM Senanayake,Kolkata Knight Riders,26,0.102,0.063,"$625,000","$823,760"
47,BB Samantray,Sunrisers Hyderabad,24,0.094,0.027999999999999997,NA,"$815,251"
48,AC Gilchrist,Kings XI Punjab,22,0.086,0.08800000000000001,"$900,000","$806,742"
49,Azhar Mahmood,Kings XI Punjab,22,0.086,0.114,"$200,000","$806,742"
50,M Vijay,Chennai Super Kings,16,0.06,0.078,"$900,000","$779,088"
51,SR Tendulkar,Mumbai Indians,15,0.059000000000000004,0.066,"$1,800,000","$778,024"
52,M Manhas,Pune Warriors,13,0.05,0.006,NA,"$768,452"
53,MK Pandey,Pune Warriors,13,0.048,0.035,NA,"$766,324"
54,B Lee,Kolkata Knight Riders,12,0.047,0.021,"$400,000","$765,261"
55,RN ten Doeschate,Kolkata Knight Riders,12,0.045,0.018000000000000002,"$150,000","$763,134"
56,Anand Rajan,Sunrisers Hyderabad,10,0.04,0.013999999999999999,NA,"$757,815"
57,SS Tiwary,Royal Challengers Bangalore,10,0.04,0.027000000000000003,"$1,600,000","$757,815"
58,LA Pomersbach,Kings XI Punjab,9,0.033,0.018000000000000002,"$300,000","$750,370"
59,SV Samson,Rajasthan Royals,8,0.033,0.046,NA,"$750,370"
60,WD Parnell,Pune Warriors,7,0.028999999999999998,0.037000000000000005,"$160,000","$746,116"
61,R Rampaul,Royal Challengers Bangalore,7,0.027999999999999997,0.099,"$290,000","$745,052"
62,JJ Bumrah,Mumbai Indians,7,0.027000000000000003,0.015,NA,"$743,988"
63,S Ladda,Kolkata Knight Riders,7,0.026000000000000002,0.011000000000000001,NA,"$742,925"
64,P Suyal,Mumbai Indians,5,0.018000000000000002,0.009000000000000001,NA,"$734,416"
65,RA Jadeja,Chennai Super Kings,4,0.017,0.109,"$2,000,000","$733,352"
66,Bipul Sharma,Kings XI Punjab,4,0.013999999999999999,0.008,NA,"$730,161"
67,JH Kallis,Kolkata Knight Riders,2,0.008,0.157,"$1,100,000","$723,780"
68,R Shukla,Rajasthan Royals,1,0.004,0.017,NA,"$719,525"
69,OA Shah,Rajasthan Royals,0,0.001,0.006,"$200,000","$716,334"
70,AP Tare,Mumbai Indians,0,-0.002,0.03,NA,"$713,143"
71,PP Ojha,Mumbai Indians,-1,-0.002,0.085,"$800,000","$713,143"
72,RP Singh,Royal Challengers Bangalore,-1,-0.004,0.068,"$600,000","$711,016"
73,RV Gomez,Pune Warriors,-1,-0.004,0.001,NA,"$711,016"
74,PA Patel,Sunrisers Hyderabad,-2,-0.009000000000000001,0.062,"$650,000","$705,698"
75,A Chandila,Rajasthan Royals,-4,-0.015,0.036000000000000004,NA,"$699,316"
76,WP Saha,Chennai Super Kings,-4,-0.016,0.013000000000000001,"$100,000","$698,253"
77,CM Gautam,Delhi Daredevils,-5,-0.021,0.01,NA,"$692,935"
78,UBT Chand,Delhi Daredevils,-5,-0.021,0.028999999999999998,NA,"$692,935"
79,A Mukund,Royal Challengers Bangalore,-6,-0.022000000000000002,0.006,NA,"$691,871"
80,BA Bhatt,Kings XI Punjab,-6,-0.024,0.005,NA,"$689,744"
81,CA Pujara,Royal Challengers Bangalore,-7,-0.026000000000000002,0.019,"$700,000","$687,617"
82,AS Rajpoot,Chennai Super Kings,-7,-0.027999999999999997,0.005,NA,"$685,489"
83,KB Arun Karthik,Royal Challengers Bangalore,-7,-0.028999999999999998,0.009000000000000001,NA,"$684,426"
84,JA Morkel,Chennai Super Kings,-8,-0.032,0.054000000000000006,"$500,000","$681,235"
85,VS Malik,Rajasthan Royals,-9,-0.033,0.015,NA,"$680,171"
86,B Chipli,Delhi Daredevils,-9,-0.034,0.004,NA,"$679,108"
87,R McLaren,Kolkata Knight Riders,-9,-0.034,0.019,"$50,000","$679,108"
88,K Cooper,Rajasthan Royals,-10,-0.037000000000000005,0.1,"$50,000","$675,917"
89,MR Marsh,Pune Warriors,-10,-0.04,0.07,"$290,000","$672,726"
90,V Sehwag,Delhi Daredevils,-10,-0.04,0.065,"$1,800,000","$672,726"
91,DB Ravi Teja,Sunrisers Hyderabad,-11,-0.040999999999999995,0.002,NA,"$671,662"
92,NLTC Perera,Sunrisers Hyderabad,-11,-0.040999999999999995,0.153,"$650,000","$671,662"
93,Ankit Sharma,Sunrisers Hyderabad,-12,-0.046,0.001,NA,"$666,344"
94,M Vohra,Kings XI Punjab,-12,-0.046,0.032,NA,"$666,344"
95,X Thalaivan Sargunam,Sunrisers Hyderabad,-15,-0.057,0.002,NA,"$654,644"
