Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,SR Tendulkar,Mumbai Indians,268,0.948,0.205,NA,"$1,047,446"
2,SK Raina,Chennai Super Kings,239,0.845,0.223,"$650,000","$990,667"
3,DPMD Jayawardene,Kings XI Punjab,195,0.691,0.146,"$475,000","$905,775"
4,KP Pietersen,Royal Challengers Bangalore,160,0.5660000000000001,0.126,"$1,550,000","$836,869"
5,JH Kallis,Royal Challengers Bangalore,157,0.556,0.268,"$900,000","$831,356"
6,PD Collingwood,Delhi Daredevils,157,0.556,0.121,NA,"$831,356"
7,M Vijay,Chennai Super Kings,156,0.552,0.133,NA,"$829,151"
8,DE Bollinger,Chennai Super Kings,145,0.513,0.125,NA,"$807,652"
9,AB Dinda,Kolkata Knight Riders,124,0.43799999999999994,0.09,NA,"$766,309"
10,G Gambhir,Delhi Daredevils,115,0.405,0.09699999999999999,"$725,000","$748,117"
11,IK Pathan,Kings XI Punjab,106,0.374,0.182,"$925,000","$731,029"
12,SC Ganguly,Kolkata Knight Riders,100,0.354,0.14800000000000002,NA,"$720,004"
13,RJ Harris,Deccan Chargers,100,0.353,0.133,NA,"$719,452"
14,Harbhajan Singh,Mumbai Indians,95,0.336,0.157,"$850,000","$710,081"
15,KA Pollard,Mumbai Indians,92,0.326,0.151,"$750,000","$704,569"
16,SL Malinga,Mumbai Indians,87,0.309,0.126,NA,"$695,197"
17,S Badrinath,Chennai Super Kings,86,0.305,0.109,NA,"$692,992"
18,NV Ojha,Rajasthan Royals,80,0.28300000000000003,0.121,NA,"$680,865"
19,PP Ojha,Deccan Chargers,76,0.271,0.138,NA,"$674,250"
20,M Manhas,Delhi Daredevils,76,0.268,0.06,NA,"$672,596"
21,RS Bopara,Kings XI Punjab,76,0.268,0.109,"$450,000","$672,596"
22,A Kumble,Royal Challengers Bangalore,73,0.26,0.136,"$500,000","$668,186"
23,MS Dhoni,Chennai Super Kings,70,0.249,0.076,"$1,500,000","$662,122"
24,M Muralitharan,Chennai Super Kings,70,0.248,0.124,"$600,000","$661,571"
25,SB Jakati,Chennai Super Kings,69,0.244,0.098,NA,"$659,366"
26,SS Tiwary,Mumbai Indians,67,0.237,0.11699999999999999,NA,"$655,507"
27,DA Warner,Delhi Daredevils,66,0.235,0.08199999999999999,NA,"$654,405"
28,R Dravid,Royal Challengers Bangalore,66,0.235,0.07200000000000001,NA,"$654,405"
29,SE Marsh,Kings XI Punjab,66,0.233,0.059000000000000004,NA,"$653,302"
30,A Symonds,Deccan Chargers,65,0.23,0.212,"$1,350,000","$651,649"
31,CRD Fernando,Mumbai Indians,65,0.22899999999999998,0.066,"$150,000","$651,097"
32,A Nehra,Delhi Daredevils,63,0.22399999999999998,0.059000000000000004,NA,"$648,341"
33,AB McDonald,Delhi Daredevils,63,0.22399999999999998,0.062,NA,"$648,341"
