Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,AB de Villiers,Royal Challengers Bangalore,300,1.08,0.188,"$1,583,333","$1,689,095"
2,AM Rahane,Rajasthan Royals,274,0.986,0.18,"$1,333,333","$1,585,393"
3,DJ Bravo,Chennai Super Kings,251,0.9009999999999999,0.22699999999999998,"$666,667","$1,491,620"
4,DA Warner,Sunrisers Hyderabad,243,0.8740000000000001,0.172,"$916,000","$1,461,833"
5,MC Henriques,Sunrisers Hyderabad,242,0.871,0.201,"$166,000","$1,458,524"
6,MA Starc,Royal Challengers Bangalore,241,0.867,0.16,"$833,000","$1,454,111"
7,JP Duminy,Delhi Daredevils,240,0.862,0.185,"$366,000","$1,448,595"
8,V Kohli,Royal Challengers Bangalore,229,0.8240000000000001,0.152,"$2,500,000","$1,406,673"
9,YS Chahal,Royal Challengers Bangalore,225,0.809,0.174,"$16,000","$1,390,125"
10,LMP Simmons,Mumbai Indians,221,0.795,0.17600000000000002,NA,"$1,374,680"
11,SL Malinga,Mumbai Indians,218,0.784,0.17600000000000002,"$1,350,000","$1,362,544"
12,AD Russell,Kolkata Knight Riders,204,0.7340000000000001,0.182,"$100,000","$1,307,384"
13,CH Gayle,Royal Challengers Bangalore,185,0.664,0.163,"$1,400,000","$1,230,159"
14,KA Pollard,Mumbai Indians,124,0.446,0.14,"$900,000","$989,659"
15,A Nehra,Chennai Super Kings,123,0.44299999999999995,0.161,"$333,000","$986,349"
16,RG Sharma,Mumbai Indians,110,0.395,0.10400000000000001,"$1,916,667","$933,395"
17,SS Tiwary,Delhi Daredevils,109,0.392,0.071,"$116,000","$930,086"
18,GB Hogg,Kolkata Knight Riders,104,0.375,0.081,"$83,333","$911,331"
19,MJ McClenaghan,Mumbai Indians,102,0.36700000000000005,0.142,"$50,000","$902,505"
20,CH Morris,Rajasthan Royals,100,0.36,0.126,"$233,333","$894,783"
21,D Wiese,Royal Challengers Bangalore,97,0.349,0.14400000000000002,"$466,667","$882,648"
22,SS Iyer,Delhi Daredevils,93,0.336,0.11699999999999999,"$433,333","$868,306"
23,BB McCullum,Chennai Super Kings,90,0.325,0.1,"$541,000","$856,170"
24,F du Plessis,Chennai Super Kings,88,0.315,0.10400000000000001,"$791,000","$845,138"
25,S Aravind,Royal Challengers Bangalore,83,0.297,0.065,NA,"$825,281"
26,YK Pathan,Kolkata Knight Riders,82,0.295,0.106,"$541,000","$823,074"
27,B Kumar,Sunrisers Hyderabad,81,0.29100000000000004,0.124,"$708,000","$818,661"
28,Imran Tahir,Delhi Daredevils,80,0.28800000000000003,0.095,NA,"$815,352"
29,HV Patel,Royal Challengers Bangalore,73,0.263,0.11599999999999999,"$66,000","$787,771"
30,IC Pandey,Chennai Super Kings,72,0.26,0.086,"$250,000","$784,462"
31,M Morkel,Kolkata Knight Riders,70,0.251,0.083,"$466,000","$774,533"
32,DA Miller,Kings XI Punjab,66,0.23600000000000002,0.096,"$833,333","$757,985"
33,MS Dhoni,Chennai Super Kings,53,0.191,0.096,"$2,083,333","$708,340"
34,A Ashish Reddy,Sunrisers Hyderabad,51,0.182,0.039,"$33,000","$698,411"
35,PA Patel,Mumbai Indians,47,0.16699999999999998,0.087,"$233,000","$681,863"
36,SR Watson,Rajasthan Royals,44,0.158,0.161,"$1,300,000","$671,934"
37,Q de Kock,Delhi Daredevils,42,0.152,0.033,"$583,000","$665,315"
38,AT Rayudu,Mumbai Indians,42,0.15,0.067,NA,"$663,109"
39,Z Khan,Delhi Daredevils,41,0.14800000000000002,0.06,"$666,667","$660,902"
40,RV Uthappa,Kolkata Knight Riders,40,0.14400000000000002,0.09300000000000001,"$833,000","$656,489"
41,DR Smith,Chennai Super Kings,36,0.131,0.109,"$750,000","$642,148"
42,DS Kulkarni,Rajasthan Royals,35,0.127,0.098,"$183,000","$637,735"
43,S Dhawan,Sunrisers Hyderabad,34,0.122,0.087,"$2,083,333","$632,219"
44,JA Morkel,Delhi Daredevils,31,0.11199999999999999,0.054000000000000006,"$50,000","$621,186"
45,Bipul Sharma,Sunrisers Hyderabad,31,0.111,0.023,NA,"$620,083"
46,BE Hendricks,Kings XI Punjab,29,0.10400000000000001,0.036000000000000004,"$300,000","$612,361"
47,CJ Anderson,Mumbai Indians,28,0.1,0.042,"$750,000","$607,948"
48,NM Coulter-Nile,Delhi Daredevils,27,0.09699999999999999,0.106,"$708,000","$604,638"
49,J Yadav,Delhi Daredevils,24,0.087,0.022000000000000002,"$16,000","$593,606"
50,GJ Bailey,Kings XI Punjab,20,0.071,0.068,"$541,000","$575,955"
51,R Ashwin,Chennai Super Kings,19,0.069,0.087,"$1,250,000","$573,748"
52,RS Bopara,Sunrisers Hyderabad,19,0.067,0.083,"$166,667","$571,542"
53,TA Boult,Sunrisers Hyderabad,17,0.062,0.071,"$633,333","$566,026"
54,MK Pandey,Kolkata Knight Riders,12,0.044000000000000004,0.06,"$283,000","$546,168"
55,M Vijay,Kings XI Punjab,10,0.037000000000000005,0.08,"$500,000","$538,446"
56,KL Rahul,Sunrisers Hyderabad,10,0.036000000000000004,0.036000000000000004,"$166,000","$537,342"
57,DJ Muthuswami,Delhi Daredevils,6,0.023,0.04,"$125,000","$523,001"
58,SN Khan,Royal Challengers Bangalore,5,0.017,0.02,"$83,333","$516,381"
59,KS Williamson,Sunrisers Hyderabad,4,0.016,0.009000000000000001,"$100,000","$515,278"
60,S Gopal,Mumbai Indians,5,0.016,0.01,"$16,000","$515,278"
61,MK Tiwary,Delhi Daredevils,4,0.013999999999999999,0.017,"$466,000","$513,072"
62,EJG Morgan,Sunrisers Hyderabad,1,0.003,0.043,"$250,000","$500,936"
63,SPD Smith,Rajasthan Royals,1,0.002,0.068,"$666,000","$499,833"
64,Harbhajan Singh,Mumbai Indians,0,0.0,0.129,"$1,333,333","$497,627"
65,KC Cariappa,Kolkata Knight Riders,-1,-0.005,0.01,"$400,000","$492,111"
66,Mandeep Singh,Royal Challengers Bangalore,-3,-0.009000000000000001,0.037000000000000005,"$133,000","$487,698"
67,Parvez Rasool,Sunrisers Hyderabad,-2,-0.009000000000000001,0.009000000000000001,"$158,000","$487,698"
68,SN Thakur,Kings XI Punjab,-2,-0.009000000000000001,0.008,"$33,000","$487,698"
69,R Tewatia,Rajasthan Royals,-4,-0.016,0.004,NA,"$479,975"
70,SK Raina,Chennai Super Kings,-5,-0.019,0.11199999999999999,"$1,583,333","$476,666"
71,J Theron,Rajasthan Royals,-10,-0.037000000000000005,0.006999999999999999,"$50,000","$456,808"
72,Sandeep Sharma,Kings XI Punjab,-11,-0.04,0.10099999999999999,"$141,000","$453,498"
73,MS Bisla,Royal Challengers Bangalore,-16,-0.057999999999999996,0.01,"$100,000","$433,641"
74,AR Patel,Kings XI Punjab,-16,-0.059000000000000004,0.14800000000000002,"$125,000","$432,537"
75,Shivam Sharma,Kings XI Punjab,-17,-0.063,0.003,"$16,000","$428,125"
