Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,ML Hayden,Chennai Super Kings,338,1.3659999999999999,0.23800000000000002,"$375,000","$1,331,596"
2,AB de Villiers,Delhi Daredevils,256,1.037,0.195,"$300,000","$1,145,098"
3,JP Duminy,Mumbai Indians,191,0.775,0.177,"$950,000","$996,579"
4,BJ Hodge,Kolkata Knight Riders,189,0.7659999999999999,0.196,NA,"$991,477"
5,RG Sharma,Deccan Chargers,156,0.63,0.174,"$750,000","$914,384"
6,A Kumble,Royal Challengers Bangalore,149,0.601,0.18100000000000002,"$500,000","$897,945"
7,MS Dhoni,Chennai Super Kings,143,0.578,0.10800000000000001,"$1,500,000","$884,907"
8,SL Malinga,Mumbai Indians,139,0.564,0.154,NA,"$876,971"
9,HH Gibbs,Deccan Chargers,135,0.545,0.129,"$575,000","$866,200"
10,MM Patel,Rajasthan Royals,127,0.513,0.135,"$275,000","$848,061"
11,A Nehra,Delhi Daredevils,122,0.493,0.147,NA,"$836,723"
12,KC Sangakkara,Kings XI Punjab,121,0.491,0.12300000000000001,"$700,000","$835,590"
13,MK Pandey,Royal Challengers Bangalore,121,0.489,0.09300000000000001,NA,"$834,456"
14,A Symonds,Deccan Chargers,119,0.48,0.135,"$1,350,000","$829,354"
15,AC Gilchrist,Deccan Chargers,117,0.473,0.149,"$700,000","$825,386"
16,TM Dilshan,Delhi Daredevils,108,0.43799999999999994,0.151,"$250,000","$805,546"
17,SK Raina,Chennai Super Kings,107,0.431,0.184,"$650,000","$801,578"
18,YA Abdulla,Kings XI Punjab,102,0.41200000000000003,0.09300000000000001,NA,"$790,807"
19,DPMD Jayawardene,Kings XI Punjab,101,0.408,0.084,"$475,000","$788,540"
20,KD Karthik,Delhi Daredevils,99,0.4,0.099,"$525,000","$784,005"
21,A Singh,Rajasthan Royals,97,0.39299999999999996,0.075,NA,"$780,037"
22,MN van Wyk,Kolkata Knight Riders,96,0.389,0.073,NA,"$777,770"
23,SB Jakati,Chennai Super Kings,88,0.354,0.105,NA,"$757,929"
24,M Muralitharan,Chennai Super Kings,82,0.331,0.12,"$600,000","$744,891"
25,Yuvraj Singh,Kings XI Punjab,81,0.327,0.16,NA,"$742,624"
26,SR Tendulkar,Mumbai Indians,74,0.298,0.11,NA,"$726,185"
27,RP Singh,Deccan Chargers,61,0.248,0.151,"$875,000","$697,842"
