Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,JJ Bumrah,Mumbai Indians,379,1.281,0.23800000000000002,"$1,093,750","$2,448,655"
2,KL Rahul,Kings XI Punjab,330,1.113,0.19399999999999998,"$1,718,750","$2,204,319"
3,K Rabada,Delhi Capitals,320,1.082,0.23199999999999998,"$656,250","$2,159,233"
4,Ishan Kishan,Mumbai Indians,261,0.8809999999999999,0.157,"$968,750","$1,866,902"
5,S Dhawan,Delhi Capitals,249,0.8420000000000001,0.168,"$812,500","$1,810,181"
6,TA Boult,Mumbai Indians,230,0.777,0.177,"$460,000","$1,715,646"
7,AB de Villiers,Royal Challengers Bangalore,227,0.767,0.142,"$1,718,750","$1,701,102"
8,SA Yadav,Mumbai Indians,225,0.759,0.13699999999999998,"$500,000","$1,689,467"
9,JO Holder,Sunrisers Hyderabad,181,0.613,0.132,"$105,000","$1,477,128"
10,DA Warner,Sunrisers Hyderabad,178,0.602,0.142,"$1,953,130","$1,461,129"
11,YS Chahal,Royal Challengers Bangalore,177,0.599,0.156,"$937,500","$1,456,766"
12,MA Agarwal,Kings XI Punjab,169,0.57,0.11699999999999999,"$156,250","$1,414,589"
13,F du Plessis,Chennai Super Kings,165,0.5579999999999999,0.12300000000000001,"$250,000","$1,397,137"
14,WP Saha,Sunrisers Hyderabad,157,0.531,0.086,"$171,400","$1,357,868"
15,JC Archer,Rajasthan Royals,156,0.528,0.18899999999999997,"$1,125,000","$1,353,505"
16,V Kohli,Royal Challengers Bangalore,154,0.52,0.11800000000000001,"$2,656,250","$1,341,870"
17,Rashid Khan,Sunrisers Hyderabad,152,0.513,0.165,"$1,406,250","$1,331,689"
18,EJG Morgan,Kolkata Knight Riders,134,0.45399999999999996,0.126,"$750,000","$1,245,881"
19,Shubman Gill,Kolkata Knight Riders,128,0.43200000000000005,0.109,"$281,250","$1,213,885"
20,KS Williamson,Sunrisers Hyderabad,123,0.415,0.092,"$468,750","$1,189,160"
21,SS Iyer,Delhi Capitals,122,0.41200000000000003,0.125,"$1,093,750","$1,184,797"
22,RD Gaikwad,Chennai Super Kings,119,0.402,0.08199999999999999,"$28,600","$1,170,253"
23,CH Gayle,Kings XI Punjab,113,0.381,0.087,"$312,500","$1,139,711"
24,CV Varun,Kolkata Knight Riders,109,0.368,0.135,"$1,200,000","$1,120,804"
25,Mohammed Shami,Kings XI Punjab,105,0.355,0.146,"$685,700","$1,101,897"
26,MP Stoinis,Delhi Capitals,104,0.353,0.153,"$685,700","$1,098,988"
27,AT Rayudu,Chennai Super Kings,104,0.35,0.096,"$343,750","$1,094,625"
28,Q de Kock,Mumbai Indians,101,0.341,0.124,"$437,500","$1,081,536"
29,A Nortje,Delhi Capitals,101,0.34,0.16,"$28,600","$1,080,081"
30,L Ngidi,Chennai Super Kings,96,0.325,0.073,"$78,130","$1,058,266"
31,MK Pandey,Sunrisers Hyderabad,85,0.28600000000000003,0.115,"$1,718,750","$1,001,545"
32,Mohammed Siraj,Royal Challengers Bangalore,78,0.263,0.07400000000000001,"$406,250","$968,094"
33,D Padikkal,Royal Challengers Bangalore,76,0.256,0.10099999999999999,"$28,600","$957,913"
34,Gurkeerat Singh,Royal Challengers Bangalore,71,0.24,0.052000000000000005,"$71,400","$934,643"
35,LH Ferguson,Kolkata Knight Riders,70,0.237,0.073,"$228,600","$930,280"
36,N Pooran,Kings XI Punjab,69,0.23399999999999999,0.081,"$600,000","$925,917"
37,DJ Hooda,Kings XI Punjab,64,0.215,0.046,"$71,400","$898,284"
38,KA Pollard,Mumbai Indians,62,0.20800000000000002,0.107,"$843,750","$888,103"
39,RR Pant,Delhi Capitals,59,0.2,0.084,"$2,343,750","$876,468"
40,M Ashwin,Kings XI Punjab,55,0.185,0.071,"$28,600","$854,652"
41,HH Pandya,Mumbai Indians,54,0.183,0.062,"$1,718,750","$851,743"
42,R Tewatia,Rajasthan Royals,52,0.177,0.14300000000000002,"$430,000","$843,017"
43,JC Buttler,Rajasthan Royals,44,0.15,0.091,"$687,500","$803,749"
44,CH Morris,Royal Challengers Bangalore,37,0.124,0.099,"$1,718,750","$765,935"
45,SV Samson,Rajasthan Royals,35,0.11699999999999999,0.087,"$1,250,000","$755,754"
46,JM Bairstow,Sunrisers Hyderabad,33,0.111,0.063,"$314,300","$747,028"
47,V Shankar,Sunrisers Hyderabad,20,0.068,0.06,"$500,000","$684,490"
48,Arshdeep Singh,Kings XI Punjab,19,0.064,0.064,"$28,600","$678,672"
49,SR Watson,Chennai Super Kings,15,0.052000000000000005,0.071,"$625,000","$661,219"
50,Shahbaz Ahmed,Royal Challengers Bangalore,15,0.05,0.018000000000000002,"$28,600","$658,311"
51,A Mishra,Delhi Capitals,14,0.048,0.026000000000000002,"$625,000","$655,402"
52,N Jagadeesan,Chennai Super Kings,5,0.016,0.012,"$31,250","$608,862"
53,MJ Santner,Chennai Super Kings,4,0.013000000000000001,0.012,"$78,130","$604,499"
54,Shivam Mavi,Kolkata Knight Riders,3,0.009000000000000001,0.062,"$468,750","$598,681"
55,MS Dhoni,Chennai Super Kings,1,0.005,0.049,"$2,343,750","$592,864"
56,SN Thakur,Chennai Super Kings,1,0.005,0.083,"$406,250","$592,864"
57,S Dube,Royal Challengers Bangalore,0,0.001,0.044000000000000004,"$714,300","$587,046"
58,RD Chahar,Mumbai Indians,0,-0.002,0.1,"$296,880","$582,683"
59,SPD Smith,Rajasthan Royals,-1,-0.004,0.079,"$1,953,130","$579,774"
60,SM Curran,Chennai Super Kings,-3,-0.011000000000000001,0.124,"$785,700","$569,593"
