Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,KL Rahul,Punjab Kings,222,0.783,0.248,"$1,718,750","$1,757,372"
2,HV Patel,Royal Challengers Bangalore,196,0.692,0.238,"$31,250","$1,629,608"
3,S Dhawan,Delhi Capitals,190,0.669,0.215,"$812,500","$1,597,316"
4,F du Plessis,Chennai Super Kings,184,0.649,0.177,"$250,000","$1,569,236"
5,CH Morris,Rajasthan Royals,159,0.56,0.219,"$2,321,400","$1,444,279"
6,Avesh Khan,Delhi Capitals,157,0.554,0.186,"$109,380","$1,435,855"
7,AB de Villiers,Royal Challengers Bangalore,126,0.442,0.15,"$1,718,750","$1,278,607"
8,PP Shaw,Delhi Capitals,118,0.415,0.148,"$187,500","$1,240,699"
9,KA Pollard,Mumbai Indians,116,0.409,0.161,"$843,750","$1,232,275"
10,SV Samson,Rajasthan Royals,114,0.401,0.127,"$1,250,000","$1,221,043"
11,RA Jadeja,Chennai Super Kings,110,0.387,0.184,"$1,093,750","$1,201,387"
12,AD Russell,Kolkata Knight Riders,109,0.385,0.175,"$1,328,130","$1,198,579"
13,MM Ali,Chennai Super Kings,106,0.373,0.163,"$1,000,000","$1,181,731"
14,KS Williamson,Sunrisers Hyderabad,101,0.355,0.112,"$468,750","$1,156,459"
15,Harpreet Brar,Punjab Kings,100,0.351,0.15,"$28,600","$1,150,843"
16,MA Agarwal,Punjab Kings,97,0.342,0.147,"$156,250","$1,138,207"
17,JM Bairstow,Sunrisers Hyderabad,85,0.299,0.119,"$314,300","$1,077,835"
18,DA Warner,Sunrisers Hyderabad,84,0.297,0.114,"$1,953,130","$1,075,027"
19,MK Pandey,Sunrisers Hyderabad,79,0.279,0.125,"$1,718,750","$1,049,755"
20,RG Sharma,Mumbai Indians,78,0.275,0.123,"$2,343,750","$1,044,139"
21,RR Pant,Delhi Capitals,77,0.272,0.118,"$2,343,750","$1,039,927"
22,CR Woakes,Delhi Capitals,70,0.246,0.08,"$214,300","$1,003,423"
23,JC Buttler,Rajasthan Royals,64,0.225,0.102,"$687,500","$973,939"
24,KA Jamieson,Royal Challengers Bangalore,62,0.219,0.133,"$2,142,900","$965,515"
25,RD Chahar,Mumbai Indians,59,0.21,0.138,"$296,880","$952,879"
26,D Padikkal,Royal Challengers Bangalore,59,0.208,0.091,"$28,600","$950,071"
27,SM Curran,Chennai Super Kings,57,0.202,0.131,"$785,700","$941,647"
28,SO Hetmyer,Delhi Capitals,57,0.2,0.068,"$1,107,100","$938,839"
29,A Mishra,Delhi Capitals,54,0.19,0.08,"$625,000","$924,799"
30,AR Patel,Delhi Capitals,51,0.18,0.085,"$714,300","$910,759"
31,Arshdeep Singh,Punjab Kings,46,0.163,0.072,"$28,600","$886,891"
32,Rashid Khan,Sunrisers Hyderabad,43,0.152,0.151,"$1,406,250","$871,447"
33,Lalit Yadav,Delhi Capitals,42,0.149,0.065,"$28,600","$867,235"
34,Imran Tahir,Chennai Super Kings,40,0.142,0.039,"$156,250","$857,407"
35,GJ Maxwell,Royal Challengers Bangalore,36,0.127,0.1,"$2,035,700","$836,347"
36,V Kohli,Royal Challengers Bangalore,35,0.123,0.094,"$2,656,250","$830,731"
37,JO Holder,Sunrisers Hyderabad,32,0.114,0.05,"$105,000","$818,095"
38,DL Chahar,Chennai Super Kings,31,0.11,0.096,"$125,000","$812,479"
39,PJ Cummins,Kolkata Knight Riders,30,0.106,0.177,"$2,214,300","$806,863"
40,Mujeeb Ur Rahman,Sunrisers Hyderabad,28,0.1,0.024,"$625,000","$798,439"
41,AT Rayudu,Chennai Super Kings,27,0.096,0.05,"$343,750","$792,823"
42,DJ Bravo,Chennai Super Kings,22,0.079,0.05,"$1,000,000","$768,955"
43,CA Lynn,Mumbai Indians,22,0.077,0.029,"$285,700","$766,147"
44,DA Miller,Rajasthan Royals,21,0.072,0.049,"$107,100","$759,127"
45,Q de Kock,Mumbai Indians,19,0.068,0.076,"$437,500","$753,511"
46,Shahbaz Ahmed,Royal Challengers Bangalore,18,0.064,0.061,"$28,600","$747,895"
47,KD Karthik,Kolkata Knight Riders,14,0.05,0.058,"$1,156,250","$728,239"
48,SK Raina,Chennai Super Kings,14,0.05,0.056,"$1,718,750","$728,239"
49,L Ngidi,Chennai Super Kings,14,0.049,0.051,"$78,130","$726,835"
50,N Rana,Kolkata Knight Riders,11,0.038,0.086,"$531,250","$711,391"
51,Mustafizur Rahman,Rajasthan Royals,9,0.033,0.108,"$142,900","$704,371"
52,RD Gaikwad,Chennai Super Kings,6,0.021,0.074,"$28,600","$687,523"
53,JD Unadkat,Rajasthan Royals,3,0.012,0.076,"$428,600","$674,887"
54,TA Boult,Mumbai Indians,3,0.012,0.115,"$460,000","$674,887"
55,Mohammed Shami,Punjab Kings,1,0.005,0.105,"$685,700","$665,059"
56,K Rabada,Delhi Capitals,-1,-0.002,0.092,"$656,250","$655,231"
57,KW Richardson,Royal Challengers Bangalore,-1,-0.003,0.007,"$571,400","$653,827"
58,DJ Malan,Punjab Kings,-1,-0.004,0.009,"$214,300","$652,423"
59,RA Tripathi,Kolkata Knight Riders,-3,-0.011,0.074,"$85,700","$642,595"
60,SPD Smith,Delhi Capitals,-4,-0.013,0.059,"$314,300","$639,787"
61,Kartik Tyagi,Rajasthan Royals,-4,-0.014,0.03,"$185,700","$638,383"
62,LI Meriwala,Delhi Capitals,-4,-0.014,0.011,,"$638,383"
63,S Kaul,Sunrisers Hyderabad,-8,-0.026,0.05,"$593,750","$621,535"
64,M Prasidh Krishna,Kolkata Knight Riders,-8,-0.027,0.097,"$15,620","$620,131"
65,Mohammed Siraj,Royal Challengers Bangalore,-11,-0.039,0.103,"$406,250","$603,283"
66,CH Gayle,Punjab Kings,-12,-0.043,0.078,"$312,500","$597,667"
67,T Natarajan,Sunrisers Hyderabad,-13,-0.045,0.017,"$62,500","$594,859"
68,KM Jadhav,Sunrisers Hyderabad,-14,-0.05,0.016,"$285,700","$587,839"
69,Ravi Bishnoi,Punjab Kings,-15,-0.051,0.051,"$285,700","$586,435"
70,YBK Jaiswal,Rajasthan Royals,-15,-0.055,0.02,"$342,900","$580,819"
71,SA Yadav,Mumbai Indians,-17,-0.06,0.061,"$500,000","$573,799"
72,Abdul Samad,Sunrisers Hyderabad,-18,-0.065,0.017,"$28,600","$566,779"
73,AM Rahane,Delhi Capitals,-19,-0.067,0.004,"$760,000","$563,971"
74,Shivam Mavi,Kolkata Knight Riders,-20,-0.07,0.033,"$468,750","$559,759"
75,Mohammad Nabi,Sunrisers Hyderabad,-22,-0.077,0.023,"$156,250","$549,931"
76,CV Varun,Kolkata Knight Riders,-23,-0.08,0.079,"$1,200,000","$545,719"
77,Jalaj S Saxena,Punjab Kings,-27,-0.095,0.003,"$42,900","$524,659"
78,M Shahrukh Khan,Punjab Kings,-29,-0.102,0.051,"$750,000","$514,831"
79,DR Sams,Royal Challengers Bangalore,-31,-0.109,0.019,,"$505,003"
80,Shubman Gill,Kolkata Knight Riders,-31,-0.109,0.052,"$281,250","$505,003"
81,AF Milne,Mumbai Indians,-32,-0.113,0.002,"$457,100","$499,387"
82,Abhishek Sharma,Sunrisers Hyderabad,-34,-0.12,0.02,"$85,940","$489,559"
83,NM Coulter-Nile,Mumbai Indians,-34,-0.12,0.002,"$714,300","$489,559"
84,MC Henriques,Punjab Kings,-35,-0.124,0.019,"$600,000","$483,943"
85,Prabhsimran Singh,Punjab Kings,-35,-0.124,0.005,"$78,600","$483,943"
86,S Nadeem,Sunrisers Hyderabad,-36,-0.127,0.012,"$500,000","$479,731"
87,RM Patidar,Royal Challengers Bangalore,-38,-0.133,0.028,,"$471,307"
88,BA Stokes,Rajasthan Royals,-39,-0.138,0.001,"$1,953,130","$464,287"
89,Virat Singh,Sunrisers Hyderabad,-39,-0.139,0.007,"$271,400","$462,883"
90,M Jansen,Mumbai Indians,-41,-0.144,0.024,"$28,600","$455,863"
91,CJ Jordan,Punjab Kings,-43,-0.151,0.037,"$428,600","$446,035"
92,JJ Bumrah,Mumbai Indians,-43,-0.152,0.082,"$1,093,750","$444,631"
93,EJG Morgan,Kolkata Knight Riders,-44,-0.154,0.036,"$750,000","$441,823"
94,MS Dhoni,Chennai Super Kings,-44,-0.157,0.013,"$2,343,750","$437,611"
95,FA Allen,Punjab Kings,-45,-0.158,0.023,"$107,100","$436,207"
96,DS Kulkarni,Mumbai Indians,-46,-0.162,0.004,"$110,000","$430,591"
97,WP Saha,Sunrisers Hyderabad,-46,-0.163,0.001,"$171,400","$429,187"
98,C Sakariya,Rajasthan Royals,-48,-0.169,0.088,"$171,400","$420,763"
99,S Dube,Rajasthan Royals,-48,-0.169,0.054,"$628,600","$420,763"
100,J Suchith,Sunrisers Hyderabad,-51,-0.18,0.012,"$42,900","$405,319"
101,NA Saini,Royal Challengers Bangalore,-51,-0.18,0.002,"$468,750","$405,319"
102,RP Meredith,Punjab Kings,-51,-0.181,0.054,"$1,142,900","$403,915"
103,TK Curran,Delhi Capitals,-52,-0.183,0.019,"$750,000","$401,107"
104,KL Nagarkoti,Kolkata Knight Riders,-52,-0.184,0.001,"$500,000","$399,703"
105,JDS Neesham,Mumbai Indians,-53,-0.187,0.001,"$71,400","$395,491"
106,R Parag,Rajasthan Royals,-54,-0.192,0.033,"$28,600","$388,471"
107,J Yadav,Mumbai Indians,-56,-0.197,0.032,"$78,130","$381,451"
108,Harbhajan Singh,Kolkata Knight Riders,-57,-0.201,0.009,"$285,700","$375,835"
109,Ishan Kishan,Mumbai Indians,-63,-0.221,0.028,"$968,750","$347,755"
110,MP Stoinis,Delhi Capitals,-63,-0.222,0.045,"$685,700","$346,351"
111,DJ Hooda,Punjab Kings,-64,-0.227,0.072,"$71,400","$339,331"
112,M Vohra,Rajasthan Royals,-67,-0.235,0.013,"$28,600","$328,099"
113,S Gopal,Rajasthan Royals,-68,-0.239,0.007,"$31,250","$322,483"
114,I Sharma,Delhi Capitals,-70,-0.246,0.014,"$157,100","$312,655"
115,Sandeep Sharma,Sunrisers Hyderabad,-70,-0.246,0.013,"$468,750","$312,655"
116,Shakib Al Hasan,Kolkata Knight Riders,-70,-0.247,0.027,"$457,100","$311,251"
117,YS Chahal,Royal Challengers Bangalore,-71,-0.251,0.064,"$937,500","$305,635"
118,JA Richardson,Punjab Kings,-72,-0.253,0.049,"$2,000,000","$302,827"
119,KK Ahmed,Sunrisers Hyderabad,-79,-0.276,0.048,"$468,750","$270,535"
120,DT Christian,Royal Challengers Bangalore,-89,-0.315,0.006,"$234,380","$215,779"
121,V Shankar,Sunrisers Hyderabad,-89,-0.315,0.052,"$500,000","$215,779"
122,B Kumar,Sunrisers Hyderabad,-99,-0.347,0.052,"$1,328,130","$170,851"
123,M Ashwin,Punjab Kings,-104,-0.367,0.022,"$28,600","$142,771"
124,KH Pandya,Mumbai Indians,-104,-0.368,0.078,"$1,375,000","$141,367"
125,N Pooran,Punjab Kings,-108,-0.38,0.007,"$600,000","$124,519"
126,HH Pandya,Mumbai Indians,-111,-0.391,0.013,"$1,718,750","$109,075"
127,Washington Sundar,Royal Challengers Bangalore,-111,-0.391,0.054,"$500,000","$109,075"
128,R Ashwin,Delhi Capitals,-112,-0.394,0.029,"$1,100,000","$104,863"
129,SN Thakur,Chennai Super Kings,-114,-0.402,0.066,"$406,250","$93,631"
130,SP Narine,Kolkata Knight Riders,-126,-0.444,0.045,"$1,953,130","$34,663"
131,R Tewatia,Rajasthan Royals,-189,-0.667,0.059,"$430,000","-$278,429"
