Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,CH Gayle,Royal Challengers Bangalore,354,1.286,0.212,"$650,000","$1,644,515"
2,S Dhawan,Deccan Chargers,304,1.103,0.20800000000000002,"$300,000","$1,500,824"
3,SP Narine,Kolkata Knight Riders,298,1.082,0.187,"$700,000","$1,484,335"
4,G Gambhir,Kolkata Knight Riders,221,0.804,0.14800000000000002,"$2,400,000","$1,266,050"
5,AM Rahane,Rajasthan Royals,217,0.787,0.156,NA,"$1,252,702"
6,M Morkel,Delhi Daredevils,199,0.721,0.174,"$475,000","$1,200,879"
7,CL White,Deccan Chargers,190,0.69,0.126,"$1,100,000","$1,176,538"
8,DJ Hussey,Kings XI Punjab,175,0.634,0.124,"$1,400,000","$1,132,567"
9,SL Malinga,Mumbai Indians,172,0.624,0.172,NA,"$1,124,715"
10,OA Shah,Rajasthan Royals,155,0.563,0.106,"$200,000","$1,076,818"
11,SPD Smith,Pune Warriors,147,0.5329999999999999,0.105,NA,"$1,053,262"
12,BW Hilfenhaus,Chennai Super Kings,147,0.532,0.115,NA,"$1,052,477"
13,L Balaji,Kolkata Knight Riders,140,0.51,0.096,"$500,000","$1,035,202"
14,KP Pietersen,Delhi Daredevils,124,0.45,0.08800000000000001,"$1,550,000","$988,090"
15,F du Plessis,Chennai Super Kings,118,0.428,0.095,NA,"$970,816"
16,DJ Bravo,Chennai Super Kings,115,0.41700000000000004,0.185,"$200,000","$962,179"
17,DS Kulkarni,Mumbai Indians,109,0.397,0.066,NA,"$946,475"
18,AB de Villiers,Royal Challengers Bangalore,106,0.384,0.087,"$1,100,000","$936,267"
19,MEK Hussey,Chennai Super Kings,103,0.37200000000000005,0.08900000000000001,"$425,000","$926,845"
20,DB Das,Kolkata Knight Riders,101,0.365,0.057,NA,"$921,349"
21,SR Watson,Rajasthan Royals,99,0.359,0.11599999999999999,"$125,000","$916,637"
22,AT Rayudu,Mumbai Indians,95,0.34600000000000003,0.085,NA,"$906,430"
23,M Muralitharan,Royal Challengers Bangalore,94,0.342,0.095,"$220,000","$903,289"
24,MS Dhoni,Chennai Super Kings,94,0.341,0.08900000000000001,"$1,500,000","$902,504"
25,P Awana,Kings XI Punjab,94,0.34,0.114,NA,"$901,719"
26,JP Duminy,Deccan Chargers,93,0.33799999999999997,0.092,"$300,000","$900,148"
27,DW Steyn,Deccan Chargers,87,0.316,0.11699999999999999,"$1,200,000","$882,874"
28,SR Tendulkar,Mumbai Indians,86,0.314,0.091,NA,"$881,304"
29,AB Dinda,Pune Warriors,86,0.311,0.066,"$375,000","$878,948"
30,Azhar Mahmood,Kings XI Punjab,80,0.29100000000000004,0.133,"$200,000","$863,244"
31,K Cooper,Rajasthan Royals,80,0.29100000000000004,0.084,"$50,000","$863,244"
32,KA Pollard,Mumbai Indians,78,0.282,0.162,"$750,000","$856,177"
33,RG Sharma,Mumbai Indians,74,0.268,0.11800000000000001,"$2,000,000","$845,184"
34,RJ Harris,Kings XI Punjab,74,0.268,0.066,"$325,000","$845,184"
35,DA Warner,Delhi Daredevils,71,0.258,0.063,"$750,000","$837,332"
36,DPMD Jayawardene,Delhi Daredevils,71,0.258,0.08900000000000001,"$1,400,000","$837,332"
37,AC Gilchrist,Kings XI Punjab,66,0.24100000000000002,0.057999999999999996,"$900,000","$823,984"
38,AB McDonald,Royal Challengers Bangalore,66,0.24,0.053,"$80,000","$823,199"
39,SE Marsh,Kings XI Punjab,66,0.24,0.092,"$400,000","$823,199"
40,Shakib Al Hasan,Kolkata Knight Riders,64,0.23399999999999999,0.10300000000000001,"$425,000","$818,488"
41,R Dravid,Rajasthan Royals,61,0.221,0.11900000000000001,"$500,000","$808,280"
42,DAJ Bracewell,Delhi Daredevils,60,0.218,0.033,"$50,000","$805,925"
43,V Sehwag,Delhi Daredevils,54,0.196,0.10099999999999999,NA,"$788,650"
44,P Parameswaran,Royal Challengers Bangalore,52,0.18899999999999997,0.043,NA,"$783,154"
45,HH Gibbs,Mumbai Indians,50,0.18,0.043,"$50,000","$776,087"
46,M Vijay,Chennai Super Kings,48,0.17300000000000001,0.08,NA,"$770,591"
47,A Chandila,Rajasthan Royals,46,0.16699999999999998,0.043,NA,"$765,880"
48,DA Miller,Kings XI Punjab,45,0.16399999999999998,0.028999999999999998,NA,"$763,524"
49,P Negi,Delhi Daredevils,44,0.161,0.057999999999999996,NA,"$761,168"
50,SW Tait,Rajasthan Royals,43,0.158,0.055999999999999994,"$300,000","$758,813"
51,DE Bollinger,Chennai Super Kings,41,0.14800000000000002,0.048,"$700,000","$750,961"
52,BJ Hodge,Rajasthan Royals,40,0.146,0.066,"$475,000","$749,390"
53,S Badrinath,Chennai Super Kings,38,0.136,0.057,"$800,000","$741,538"
54,MM Patel,Mumbai Indians,37,0.134,0.102,"$700,000","$739,968"
55,RV Uthappa,Pune Warriors,35,0.129,0.094,"$2,100,000","$736,042"
56,MS Bisla,Kolkata Knight Riders,28,0.102,0.05,NA,"$714,842"
57,TM Dilshan,Royal Challengers Bangalore,25,0.091,0.083,"$650,000","$706,205"
58,JEC Franklin,Mumbai Indians,23,0.083,0.087,"$100,000","$699,923"
59,KMDN Kulasekara,Chennai Super Kings,21,0.075,0.03,NA,"$693,641"
60,S Anirudha,Chennai Super Kings,20,0.073,0.024,NA,"$692,071"
61,KP Appanna,Royal Challengers Bangalore,16,0.06,0.042,NA,"$681,863"
62,AD Mascarenhas,Kings XI Punjab,16,0.057,0.038,NA,"$679,508"
63,UT Yadav,Delhi Daredevils,16,0.057,0.12,NA,"$679,508"
64,RJ Peterson,Mumbai Indians,15,0.054000000000000006,0.028999999999999998,"$100,000","$677,152"
65,M Manhas,Pune Warriors,13,0.049,0.031,NA,"$673,226"
66,Y Nagar,Delhi Daredevils,13,0.047,0.04,NA,"$671,656"
67,STR Binny,Rajasthan Royals,12,0.044000000000000004,0.043,NA,"$669,300"
68,DR Smith,Mumbai Indians,10,0.037000000000000005,0.066,"$100,000","$663,804"
69,Mandeep Singh,Kings XI Punjab,10,0.035,0.094,NA,"$662,233"
70,Pankaj Singh,Rajasthan Royals,9,0.032,0.049,NA,"$659,878"
71,Gurkeerat Singh,Kings XI Punjab,7,0.025,0.015,NA,"$654,382"
72,DJ Harris,Deccan Chargers,6,0.021,0.027999999999999997,"$70,000","$651,241"
