Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,SE Marsh,Kings XI Punjab,377,1.355,0.231,NA,"$1,270,355"
2,SR Watson,Rajasthan Royals,347,1.25,0.297,"$125,000","$1,209,660"
3,Sohail Tanvir,Rajasthan Royals,294,1.0590000000000002,0.19399999999999998,NA,"$1,099,252"
4,G Gambhir,Delhi Daredevils,216,0.7759999999999999,0.16,"$725,000","$935,664"
5,GC Smith,Rajasthan Royals,202,0.725,0.139,"$250,000","$906,183"
6,MF Maharoof,Delhi Daredevils,180,0.6459999999999999,0.168,"$225,000","$860,517"
7,SK Raina,Chennai Super Kings,178,0.6409999999999999,0.135,"$650,000","$857,627"
8,ST Jayasuriya,Mumbai Indians,170,0.611,0.17300000000000001,"$975,000","$840,285"
9,JA Morkel,Chennai Super Kings,158,0.5670000000000001,0.191,"$675,000","$814,851"
10,YK Pathan,Rajasthan Royals,153,0.55,0.172,"$475,000","$805,024"
11,MS Dhoni,Chennai Super Kings,148,0.532,0.121,"$1,500,000","$794,619"
12,RG Sharma,Deccan Chargers,142,0.509,0.125,"$750,000","$781,324"
13,Umar Gul,Kolkata Knight Riders,137,0.493,0.12,"$150,000","$772,075"
14,ML Hayden,Chennai Super Kings,136,0.489,0.08,"$375,000","$769,763"
15,LA Pomersbach,Kings XI Punjab,125,0.451,0.086,NA,"$747,797"
16,CRD Fernando,Mumbai Indians,116,0.41700000000000004,0.098,"$150,000","$728,144"
17,A Mishra,Delhi Daredevils,115,0.413,0.092,NA,"$725,831"
18,MEK Hussey,Chennai Super Kings,115,0.413,0.065,"$250,000","$725,831"
19,BB McCullum,Kolkata Knight Riders,109,0.39299999999999996,0.062,"$700,000","$714,270"
20,S Dhawan,Delhi Daredevils,101,0.36200000000000004,0.1,NA,"$696,351"
21,SA Asnodkar,Rajasthan Royals,100,0.36,0.09699999999999999,NA,"$695,195"
22,SM Katich,Kings XI Punjab,96,0.345,0.062,"$200,000","$686,524"
23,AC Gilchrist,Deccan Chargers,92,0.332,0.12300000000000001,"$700,000","$679,009"
24,DJ Bravo,Mumbai Indians,90,0.324,0.136,NA,"$674,385"
25,RV Uthappa,Mumbai Indians,90,0.322,0.095,"$800,000","$673,229"
26,SC Ganguly,Kolkata Knight Riders,86,0.309,0.152,NA,"$665,714"
27,KC Sangakkara,Kings XI Punjab,81,0.29,0.09,"$700,000","$654,731"
28,DS Kulkarni,Mumbai Indians,78,0.27899999999999997,0.08900000000000001,NA,"$648,373"
29,SK Warne,Rajasthan Royals,74,0.266,0.147,"$450,000","$640,858"
30,S Sreesanth,Kings XI Punjab,70,0.251,0.133,"$625,000","$632,187"
31,MV Boucher,Royal Challengers Bangalore,65,0.235,0.069,"$450,000","$622,938"
32,V Sehwag,Delhi Daredevils,63,0.22699999999999998,0.124,NA,"$618,314"
33,IK Pathan,Kings XI Punjab,61,0.22,0.14800000000000002,"$925,000","$614,268"
34,PP Chawla,Kings XI Punjab,61,0.21899999999999997,0.134,"$400,000","$613,689"
35,Shoaib Akhtar,Kolkata Knight Riders,58,0.21,0.051,"$425,000","$608,487"
36,SR Tendulkar,Mumbai Indians,55,0.198,0.068,NA,"$601,550"
37,LR Shukla,Kolkata Knight Riders,50,0.18,0.091,NA,"$591,145"
38,NK Patel,Rajasthan Royals,50,0.179,0.045,NA,"$590,567"
39,DR Smith,Mumbai Indians,49,0.17600000000000002,0.055,NA,"$588,833"
40,Kamran Akmal,Rajasthan Royals,48,0.17300000000000001,0.043,"$150,000","$587,099"
41,Y Venugopal Rao,Deccan Chargers,47,0.168,0.114,NA,"$584,209"
42,LRPL Taylor,Royal Challengers Bangalore,43,0.153,0.047,NA,"$575,538"
43,S Badrinath,Chennai Super Kings,32,0.11699999999999999,0.055,NA,"$554,728"
44,Harbhajan Singh,Mumbai Indians,31,0.111,0.04,"$850,000","$551,260"
45,VY Mahesh,Delhi Daredevils,28,0.102,0.11,NA,"$546,058"
46,DJ Thornely,Mumbai Indians,28,0.099,0.04,NA,"$544,323"
47,MS Gony,Chennai Super Kings,28,0.099,0.127,NA,"$544,323"
48,MK Tiwary,Delhi Daredevils,26,0.094,0.036000000000000004,"$675,000","$541,433"
49,R Dravid,Royal Challengers Bangalore,26,0.094,0.095,NA,"$541,433"
50,WP Saha,Kolkata Knight Riders,26,0.09300000000000001,0.040999999999999995,NA,"$540,855"
51,VVS Laxman,Deccan Chargers,22,0.079,0.048,"$375,000","$532,762"
52,RR Powar,Kings XI Punjab,22,0.078,0.043,"$170,000","$532,184"
53,TM Dilshan,Delhi Daredevils,21,0.076,0.037000000000000005,"$250,000","$531,028"
54,L Balaji,Chennai Super Kings,15,0.053,0.078,NA,"$517,733"
55,A Symonds,Deccan Chargers,14,0.05,0.051,"$1,350,000","$515,999"
56,DW Steyn,Royal Challengers Bangalore,13,0.048,0.08800000000000001,"$325,000","$514,843"
57,YV Takawale,Mumbai Indians,12,0.042,0.03,NA,"$511,374"
58,PA Patel,Chennai Super Kings,9,0.034,0.08800000000000001,"$325,000","$506,750"
59,AD Mascarenhas,Rajasthan Royals,9,0.031,0.015,NA,"$505,016"
60,RR Raje,Mumbai Indians,8,0.028999999999999998,0.047,NA,"$503,860"
61,Salman Butt,Kolkata Knight Riders,7,0.024,0.055,NA,"$500,970"
62,Yuvraj Singh,Kings XI Punjab,5,0.019,0.08900000000000001,NA,"$498,079"
63,PP Ojha,Deccan Chargers,3,0.011000000000000001,0.08800000000000001,NA,"$493,455"
64,BAW Mendis,Kolkata Knight Riders,3,0.009000000000000001,0.011000000000000001,NA,"$492,299"
65,SP Goswami,Royal Challengers Bangalore,2,0.008,0.022000000000000002,NA,"$491,721"
66,H Das,Deccan Chargers,2,0.006999999999999999,0.002,NA,"$491,143"
67,AA Noffke,Royal Challengers Bangalore,1,0.002,0.011000000000000001,NA,"$488,252"
68,U Kaul,Kings XI Punjab,0,0.0,0.0,NA,"$487,096"
69,DL Vettori,Delhi Daredevils,-2,-0.006,0.01,NA,"$483,628"
70,A Nel,Mumbai Indians,-4,-0.016,0.009000000000000001,NA,"$477,848"
71,RR Sarwan,Kings XI Punjab,-7,-0.024,0.019,"$225,000","$473,223"
72,DPMD Jayawardene,Kings XI Punjab,-7,-0.026000000000000002,0.047,"$475,000","$472,067"
73,WA Mota,Kings XI Punjab,-8,-0.028999999999999998,0.016,NA,"$470,333"
74,A Nehra,Mumbai Indians,-9,-0.032,0.10800000000000001,NA,"$468,599"
75,SD Chitnis,Mumbai Indians,-9,-0.034,0.02,NA,"$467,443"
76,AB de Villiers,Delhi Daredevils,-11,-0.040999999999999995,0.026000000000000002,"$300,000","$463,396"
77,B Lee,Kings XI Punjab,-12,-0.044000000000000004,0.045,"$900,000","$461,662"
78,PM Sarvesh Kumar,Deccan Chargers,-13,-0.048,0.009000000000000001,NA,"$459,350"
79,DT Patil,Royal Challengers Bangalore,-14,-0.049,0.002,NA,"$458,772"
80,KD Karthik,Delhi Daredevils,-15,-0.053,0.039,"$525,000","$456,460"
81,SP Fleming,Chennai Super Kings,-16,-0.057,0.046,"$350,000","$454,147"
82,T Kohli,Rajasthan Royals,-17,-0.06,0.002,NA,"$452,413"
83,W Jaffer,Royal Challengers Bangalore,-18,-0.065,0.026000000000000002,"$150,000","$449,523"
84,TM Srivastava,Kings XI Punjab,-19,-0.067,0.001,NA,"$448,367"
85,L Ronchi,Mumbai Indians,-19,-0.069,0.008,NA,"$447,211"
86,Iqbal Abdulla,Kolkata Knight Riders,-21,-0.076,0.002,NA,"$443,164"
87,DJ Hussey,Kolkata Knight Riders,-22,-0.078,0.096,"$625,000","$442,008"
88,T Taibu,Kolkata Knight Riders,-22,-0.08,0.006,"$125,000","$440,852"
89,S Sohal,Kings XI Punjab,-23,-0.081,0.001,NA,"$440,274"
90,Abdur Razzak,Royal Challengers Bangalore,-23,-0.083,0.002,NA,"$439,118"
91,Younis Khan,Rajasthan Royals,-24,-0.085,0.0,"$225,000","$437,962"
92,S Anirudha,Chennai Super Kings,-26,-0.092,0.0,NA,"$433,916"
