Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,DA Warner,Sunrisers Hyderabad,351,1.274,0.21100000000000002,"$916,000","$1,783,802"
2,JD Unadkat,Rising Pune Supergiants,316,1.146,0.207,"$45,000","$1,648,517"
3,B Kumar,Sunrisers Hyderabad,304,1.104,0.228,"$708,000","$1,604,126"
4,HM Amla,Kings XI Punjab,236,0.8540000000000001,0.151,NA,"$1,339,898"
5,AJ Tye,Gujarat Lions,205,0.742,0.132,"$75,000","$1,221,524"
6,MK Pandey,Kolkata Knight Riders,185,0.672,0.142,"$283,000","$1,147,540"
7,G Gambhir,Kolkata Knight Riders,182,0.66,0.14800000000000002,"$1,666,667","$1,134,857"
8,P Negi,Royal Challengers Bangalore,165,0.597,0.17600000000000002,"$149,000","$1,068,271"
9,CA Lynn,Kolkata Knight Riders,163,0.5920000000000001,0.10099999999999999,"$216,000","$1,062,986"
10,S Dhawan,Sunrisers Hyderabad,163,0.591,0.142,"$2,083,333","$1,061,930"
11,SPD Smith,Rising Pune Supergiants,156,0.565,0.145,"$666,000","$1,034,450"
12,MK Tiwary,Rising Pune Supergiants,144,0.521,0.1,"$75,000","$987,946"
13,SK Raina,Gujarat Lions,129,0.469,0.127,"$1,583,333","$932,986"
14,S Kaul,Sunrisers Hyderabad,128,0.466,0.111,"$16,667","$929,815"
15,KD Karthik,Gujarat Lions,120,0.435,0.099,"$345,000","$897,051"
16,KS Williamson,Sunrisers Hyderabad,119,0.433,0.07200000000000001,"$100,000","$894,937"
17,JJ Bumrah,Mumbai Indians,111,0.402,0.161,"$200,000","$862,173"
18,Imran Tahir,Rising Pune Supergiants,110,0.39899999999999997,0.128,NA,"$859,002"
19,NM Coulter-Nile,Kolkata Knight Riders,110,0.39899999999999997,0.125,"$522,000","$859,002"
20,GJ Maxwell,Kings XI Punjab,107,0.38799999999999996,0.135,"$1,000,000","$847,376"
21,CH Morris,Delhi Daredevils,101,0.368,0.134,"$1,050,000","$826,238"
22,SS Iyer,Delhi Daredevils,101,0.366,0.098,"$433,333","$824,124"
23,RA Tripathi,Rising Pune Supergiants,89,0.324,0.122,"$15,000","$779,734"
24,KH Pandya,Mumbai Indians,77,0.281,0.14400000000000002,"$300,000","$734,286"
25,RV Uthappa,Kolkata Knight Riders,72,0.261,0.10300000000000001,"$833,000","$713,148"
26,MG Johnson,Mumbai Indians,69,0.252,0.077,"$299,000","$703,636"
27,Sandeep Sharma,Kings XI Punjab,69,0.249,0.128,"$141,000","$700,465"
28,UT Yadav,Kolkata Knight Riders,67,0.242,0.127,"$433,000","$693,067"
29,BA Stokes,Rising Pune Supergiants,64,0.231,0.175,"$2,164,000","$681,441"
30,JC Buttler,Mumbai Indians,56,0.204,0.076,"$570,000","$652,904"
31,KM Jadhav,Royal Challengers Bangalore,56,0.204,0.076,"$333,000","$652,904"
32,AR Patel,Kings XI Punjab,55,0.201,0.166,"$125,000","$649,733"
33,Mohammed Siraj,Sunrisers Hyderabad,54,0.19699999999999998,0.068,"$388,000","$645,505"
34,Rashid Khan,Sunrisers Hyderabad,54,0.196,0.11800000000000001,"$597,000","$644,449"
35,SE Marsh,Kings XI Punjab,53,0.193,0.076,"$366,000","$641,278"
36,SS Tiwary,Delhi Daredevils,52,0.18899999999999997,0.033,"$45,000","$637,050"
37,KV Sharma,Mumbai Indians,51,0.184,0.1,"$478,000","$631,766"
38,RR Pant,Delhi Daredevils,50,0.18100000000000002,0.091,"$285,000","$628,595"
39,HH Pandya,Mumbai Indians,49,0.17800000000000002,0.11900000000000001,"$16,667","$625,424"
40,V Shankar,Sunrisers Hyderabad,48,0.175,0.028999999999999998,"$52,500","$622,253"
41,V Kohli,Royal Challengers Bangalore,45,0.162,0.085,"$2,500,000","$608,513"
42,SV Samson,Delhi Daredevils,44,0.158,0.1,"$630,000","$604,286"
43,N Rana,Mumbai Indians,43,0.157,0.083,"$16,667","$603,229"
44,HV Patel,Royal Challengers Bangalore,37,0.134,0.021,"$66,000","$578,920"
45,Washington Sundar,Rising Pune Supergiants,37,0.133,0.061,NA,"$577,863"
46,VR Aaron,Kings XI Punjab,34,0.125,0.055,"$418,000","$569,408"
47,YS Chahal,Royal Challengers Bangalore,33,0.121,0.10099999999999999,"$16,000","$565,180"
48,AB de Villiers,Royal Challengers Bangalore,32,0.115,0.062,"$1,583,333","$558,839"
49,BB McCullum,Gujarat Lions,29,0.106,0.086,"$541,000","$549,326"
50,MS Dhoni,Rising Pune Supergiants,27,0.09699999999999999,0.091,"$2,083,333","$539,814"
51,R Vinay Kumar,Mumbai Indians,25,0.08900000000000001,0.021,"$466,000","$531,359"
52,R Tewatia,Kings XI Punjab,24,0.086,0.037000000000000005,"$37,000","$528,188"
53,Yuvraj Singh,Sunrisers Hyderabad,19,0.07,0.07200000000000001,"$1,050,000","$511,277"
54,A Nehra,Sunrisers Hyderabad,19,0.068,0.051,"$825,000","$509,164"
55,TM Head,Royal Challengers Bangalore,17,0.063,0.05,"$75,000","$503,879"
56,CR Woakes,Kolkata Knight Riders,16,0.059000000000000004,0.13,"$627,000","$499,651"
57,Ishan Kishan,Gujarat Lions,14,0.049,0.077,"$52,500","$489,082"
58,KA Pollard,Mumbai Indians,14,0.049,0.092,"$900,000","$489,082"
59,NB Singh,Gujarat Lions,12,0.045,0.012,"$75,000","$484,855"
60,AR Bawne,Delhi Daredevils,12,0.044000000000000004,0.009000000000000001,"$15,000","$483,798"
61,DJ Hooda,Sunrisers Hyderabad,10,0.035,0.033,"$630,000","$474,285"
62,Iqbal Abdulla,Royal Challengers Bangalore,7,0.024,0.018000000000000002,"$15,000","$462,659"
63,IR Jaggi,Kolkata Knight Riders,7,0.024,0.013000000000000001,"$15,000","$462,659"
64,JJ Roy,Gujarat Lions,6,0.023,0.015,NA,"$461,602"
65,DM Bravo,Kolkata Knight Riders,6,0.022000000000000002,0.004,"$75,000","$460,546"
66,DA Miller,Kings XI Punjab,4,0.013999999999999999,0.025,"$833,333","$452,090"
67,Avesh Khan,Royal Challengers Bangalore,3,0.012,0.01,NA,"$449,976"
68,A Zampa,Rising Pune Supergiants,3,0.011000000000000001,0.035,"$45,000","$448,919"
69,STR Binny,Royal Challengers Bangalore,3,0.01,0.049,"$300,000","$447,863"
70,RD Chahar,Rising Pune Supergiants,2,0.006,0.022000000000000002,"$15,000","$443,635"
71,P Kumar,Gujarat Lions,0,-0.001,0.05,"$525,000","$436,236"
72,WP Saha,Kings XI Punjab,-3,-0.011000000000000001,0.064,"$366,000","$425,667"
73,LH Ferguson,Rising Pune Supergiants,-4,-0.013999999999999999,0.032,"$75,000","$422,497"
74,TG Southee,Mumbai Indians,-4,-0.013999999999999999,0.021,"$375,000","$422,497"
75,A Choudhary,Royal Challengers Bangalore,-7,-0.024,0.05,"$299,000","$411,927"
76,CJ Jordan,Sunrisers Hyderabad,-8,-0.028999999999999998,0.006999999999999999,"$75,000","$406,643"
77,M Vohra,Kings XI Punjab,-8,-0.028999999999999998,0.053,"$58,333","$406,643"
78,R Bhatia,Rising Pune Supergiants,-11,-0.039,0.017,"$90,000","$396,074"
79,AM Rahane,Rising Pune Supergiants,-13,-0.047,0.102,"$1,333,333","$387,618"
80,EJG Morgan,Kings XI Punjab,-14,-0.051,0.013999999999999999,"$300,000","$383,391"
81,AT Rayudu,Mumbai Indians,-14,-0.052000000000000005,0.021,NA,"$382,334"
82,SP Jackson,Kolkata Knight Riders,-15,-0.053,0.012,NA,"$381,277"
83,B Stanlake,Royal Challengers Bangalore,-15,-0.055999999999999994,0.015,"$45,000","$378,106"
84,SS Agarwal,Gujarat Lions,-16,-0.057,0.008,NA,"$377,049"
85,AJ Finch,Gujarat Lions,-17,-0.062,0.062,"$150,000","$371,765"
86,Ankit Sharma,Rising Pune Supergiants,-17,-0.063,0.005,"$15,000","$370,708"
87,F du Plessis,Rising Pune Supergiants,-18,-0.067,0.001,"$791,000","$366,480"
88,SW Billings,Delhi Daredevils,-20,-0.073,0.027999999999999997,"$45,000","$360,139"
89,AS Rajpoot,Kolkata Knight Riders,-21,-0.076,0.032,"$225,000","$356,968"
90,LMP Simmons,Mumbai Indians,-21,-0.076,0.033,NA,"$356,968"
91,MJ McClenaghan,Mumbai Indians,-22,-0.081,0.134,"$50,000","$351,683"
92,PJ Cummins,Delhi Daredevils,-25,-0.08900000000000001,0.096,"$672,000","$343,228"
93,MJ Guptill,Kings XI Punjab,-26,-0.094,0.032,"$75,000","$337,944"
94,AD Nath,Gujarat Lions,-26,-0.096,0.0,"$15,000","$335,830"
95,NV Ojha,Sunrisers Hyderabad,-26,-0.096,0.017,"$83,000","$335,830"
96,PA Patel,Mumbai Indians,-26,-0.096,0.077,"$233,000","$335,830"
97,SA Yadav,Kolkata Knight Riders,-27,-0.09699999999999999,0.028999999999999998,"$116,000","$334,773"
98,BB Sran,Sunrisers Hyderabad,-28,-0.102,0.001,"$180,000","$329,488"
99,MS Gony,Gujarat Lions,-29,-0.105,0.002,"$500,000","$326,317"
100,Mohammad Nabi,Sunrisers Hyderabad,-30,-0.10800000000000001,0.016,"$45,000","$323,147"
101,Shakib Al Hasan,Kolkata Knight Riders,-30,-0.109,0.002,"$466,000","$322,090"
102,Mustafizur Rahman,Sunrisers Hyderabad,-33,-0.12,0.001,"$210,000","$310,464"
