Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,CH Gayle,Royal Challengers Bangalore,351,1.3030000000000002,0.239,"$650,000","$1,674,414"
2,SL Malinga,Mumbai Indians,325,1.207,0.207,NA,"$1,592,801"
3,S Badrinath,Chennai Super Kings,267,0.99,0.16,"$800,000","$1,408,322"
4,SE Marsh,Kings XI Punjab,246,0.912,0.149,"$400,000","$1,342,011"
5,SR Tendulkar,Mumbai Indians,217,0.807,0.166,NA,"$1,252,747"
6,S Aravind,Royal Challengers Bangalore,199,0.7390000000000001,0.159,NA,"$1,194,938"
7,V Sehwag,Delhi Daredevils,193,0.715,0.121,NA,"$1,174,534"
8,MM Patel,Mumbai Indians,187,0.695,0.154,"$700,000","$1,157,532"
9,BJ Hodge,Kochi Tuskers Kerala,185,0.687,0.12,"$425,000","$1,150,731"
10,MEK Hussey,Chennai Super Kings,183,0.68,0.135,"$425,000","$1,144,780"
11,MK Tiwary,Kolkata Knight Riders,174,0.6459999999999999,0.11800000000000001,"$475,000","$1,115,875"
12,V Kohli,Royal Challengers Bangalore,164,0.608,0.17,NA,"$1,083,570"
13,MS Dhoni,Chennai Super Kings,161,0.596,0.111,"$1,500,000","$1,073,368"
14,YK Pathan,Kolkata Knight Riders,158,0.5870000000000001,0.166,"$2,100,000","$1,065,717"
15,Yuvraj Singh,Pune Warriors,151,0.56,0.149,"$1,800,000","$1,042,763"
16,R Sharma,Pune Warriors,140,0.521,0.135,NA,"$1,009,608"
17,Iqbal Abdulla,Kolkata Knight Riders,133,0.494,0.11,NA,"$986,655"
18,DE Bollinger,Chennai Super Kings,132,0.49,0.11,"$700,000","$983,254"
19,JH Kallis,Kolkata Knight Riders,131,0.486,0.162,"$1,100,000","$979,853"
20,S Dhawan,Deccan Chargers,127,0.47100000000000003,0.11800000000000001,"$300,000","$967,101"
21,PC Valthaty,Kings XI Punjab,126,0.46799999999999997,0.162,NA,"$964,551"
22,A Mishra,Deccan Chargers,125,0.46399999999999997,0.14,"$300,000","$961,150"
23,G Gambhir,Kolkata Knight Riders,121,0.44799999999999995,0.115,"$2,400,000","$947,548"
24,AB de Villiers,Royal Challengers Bangalore,105,0.391,0.079,"$1,100,000","$899,091"
25,Shakib Al Hasan,Kolkata Knight Riders,93,0.34700000000000003,0.07200000000000001,"$425,000","$861,685"
26,R Ashwin,Chennai Super Kings,91,0.337,0.129,"$850,000","$853,183"
27,AT Rayudu,Mumbai Indians,85,0.316,0.096,NA,"$835,330"
28,R Dravid,Rajasthan Royals,82,0.304,0.09699999999999999,"$500,000","$825,129"
29,MR Marsh,Pune Warriors,81,0.301,0.06,"$290,000","$822,578"
30,RG Sharma,Mumbai Indians,67,0.248,0.09,"$2,000,000","$777,521"
31,PP Chawla,Kings XI Punjab,60,0.221,0.10300000000000001,"$900,000","$754,568"
32,WD Parnell,Pune Warriors,57,0.21,0.07400000000000001,"$160,000","$745,216"
33,RE van der Merwe,Delhi Daredevils,53,0.19699999999999998,0.042,"$50,000","$734,164"
34,J Botha,Rajasthan Royals,51,0.188,0.111,"$950,000","$726,513"
35,AC Gilchrist,Kings XI Punjab,49,0.183,0.10099999999999999,"$900,000","$722,262"
36,RN ten Doeschate,Kolkata Knight Riders,49,0.183,0.038,"$150,000","$722,262"
37,M Vijay,Chennai Super Kings,47,0.17300000000000001,0.105,NA,"$713,761"
38,A Symonds,Mumbai Indians,42,0.157,0.051,"$850,000","$700,159"
39,WP Saha,Chennai Super Kings,42,0.157,0.027999999999999997,"$100,000","$700,159"
40,LRPL Taylor,Rajasthan Royals,42,0.155,0.051,"$1,000,000","$698,459"
41,DPMD Jayawardene,Kochi Tuskers Kerala,41,0.151,0.08800000000000001,"$1,500,000","$695,058"
42,SJ Srivastava,Kings XI Punjab,40,0.147,0.051,NA,"$691,658"
43,JEC Franklin,Mumbai Indians,36,0.133,0.047,"$100,000","$679,756"
44,R Bhatia,Kolkata Knight Riders,33,0.121,0.061,NA,"$669,554"
45,Anand Rajan,Deccan Chargers,32,0.12,0.019,NA,"$668,704"
46,DW Steyn,Deccan Chargers,32,0.11900000000000001,0.094,"$1,200,000","$667,854"
47,CK Langeveldt,Royal Challengers Bangalore,30,0.11199999999999999,0.038,"$140,000","$661,903"
48,Harmeet Singh,Deccan Chargers,29,0.109,0.025,NA,"$659,352"
49,Bipul Sharma,Kings XI Punjab,28,0.106,0.04,NA,"$656,802"
50,Harbhajan Singh,Mumbai Indians,28,0.10400000000000001,0.11599999999999999,"$850,000","$655,102"
51,Y Venugopal Rao,Delhi Daredevils,27,0.1,0.087,"$700,000","$651,701"
52,CL White,Deccan Chargers,27,0.098,0.031,"$1,100,000","$650,001"
53,AS Raut,Rajasthan Royals,26,0.09699999999999999,0.022000000000000002,NA,"$649,151"
54,OA Shah,Kochi Tuskers Kerala,26,0.096,0.024,"$200,000","$648,301"
55,JA Morkel,Chennai Super Kings,24,0.09,0.12300000000000001,"$675,000","$643,200"
56,KC Sangakkara,Deccan Chargers,24,0.09,0.079,"$700,000","$643,200"
57,BB McCullum,Kochi Tuskers Kerala,23,0.087,0.081,"$475,000","$640,650"
58,SW Tait,Rajasthan Royals,22,0.08199999999999999,0.047,"$300,000","$636,399"
59,DP Nannes,Royal Challengers Bangalore,22,0.08,0.013000000000000001,NA,"$634,699"
60,SS Mundhe,Pune Warriors,21,0.077,0.01,NA,"$632,148"
61,KD Karthik,Kings XI Punjab,19,0.07,0.067,"$900,000","$626,197"
62,J Syed Mohammad,Royal Challengers Bangalore,18,0.067,0.04,NA,"$623,647"
63,JP Faulkner,Pune Warriors,17,0.062,0.01,NA,"$619,396"
64,DA Warner,Delhi Daredevils,15,0.055999999999999994,0.086,"$750,000","$614,295"
65,MK Pandey,Pune Warriors,14,0.051,0.061,NA,"$610,045"
66,AM Salvi,Delhi Daredevils,13,0.05,0.018000000000000002,NA,"$609,195"
67,S Sohal,Deccan Chargers,13,0.047,0.065,NA,"$606,644"
68,M Morkel,Delhi Daredevils,12,0.045,0.092,"$475,000","$604,944"
69,B Kumar,Pune Warriors,11,0.043,0.027999999999999997,NA,"$603,244"
70,RV Uthappa,Pune Warriors,10,0.036000000000000004,0.071,"$2,100,000","$597,293"
71,BA Bhatt,Kings XI Punjab,9,0.035,0.064,NA,"$596,442"
72,SK Raina,Chennai Super Kings,9,0.032,0.125,"$650,000","$593,892"
73,JR Hopes,Delhi Daredevils,8,0.031,0.102,"$350,000","$593,042"
74,SS Tiwary,Royal Challengers Bangalore,8,0.031,0.054000000000000006,"$1,600,000","$593,042"
75,JD Unadkat,Kolkata Knight Riders,8,0.028999999999999998,0.036000000000000004,NA,"$591,342"
76,JE Taylor,Pune Warriors,5,0.018000000000000002,0.040999999999999995,"$100,000","$581,990"
77,SK Warne,Rajasthan Royals,4,0.015,0.076,"$450,000","$579,440"
78,AC Thomas,Pune Warriors,2,0.008,0.077,"$100,000","$573,489"
79,KMDN Kulasekara,Chennai Super Kings,1,0.003,0.004,NA,"$569,238"
80,SC Ganguly,Pune Warriors,-1,-0.002,0.017,"$400,000","$564,987"
81,DL Vettori,Royal Challengers Bangalore,-2,-0.006999999999999999,0.094,"$550,000","$560,737"
82,SR Watson,Rajasthan Royals,-3,-0.012,0.124,"$125,000","$556,486"
83,CJ Ferguson,Pune Warriors,-4,-0.013999999999999999,0.016,"$300,000","$554,786"
84,PP Ojha,Deccan Chargers,-6,-0.022000000000000002,0.064,NA,"$547,985"
85,MS Gony,Deccan Chargers,-7,-0.024,0.02,"$290,000","$546,285"
86,DB Ravi Teja,Deccan Chargers,-7,-0.025,0.042,NA,"$545,434"
87,FY Fazal,Rajasthan Royals,-7,-0.025,0.003,NA,"$545,434"
88,VVS Laxman,Kochi Tuskers Kerala,-8,-0.027999999999999997,0.009000000000000001,"$400,000","$542,884"
89,BJ Haddin,Kolkata Knight Riders,-8,-0.028999999999999998,0.005,"$325,000","$542,034"
90,DJ Bravo,Chennai Super Kings,-8,-0.028999999999999998,0.037000000000000005,"$200,000","$542,034"
91,SB Styris,Chennai Super Kings,-8,-0.03,0.001,"$200,000","$541,184"
92,AN Ahmed,Mumbai Indians,-9,-0.033,0.045,NA,"$538,633"
93,AM Rahane,Rajasthan Royals,-9,-0.034,0.027000000000000003,NA,"$537,783"
94,R Ninan,Royal Challengers Bangalore,-9,-0.035,0.015,NA,"$536,933"
95,AG Murtaza,Mumbai Indians,-10,-0.036000000000000004,0.028999999999999998,NA,"$536,083"
96,DH Yagnik,Rajasthan Royals,-10,-0.036000000000000004,0.005,NA,"$536,083"
97,S Rana,Pune Warriors,-10,-0.036000000000000004,0.005,NA,"$536,083"
98,Harpreet Singh,Pune Warriors,-12,-0.044000000000000004,0.002,NA,"$529,282"
99,LR Shukla,Kolkata Knight Riders,-12,-0.044000000000000004,0.001,NA,"$529,282"
100,VS Malik,Kings XI Punjab,-13,-0.048,0.001,NA,"$525,881"
101,Y Gnaneswara Rao,Kochi Tuskers Kerala,-14,-0.051,0.004,NA,"$523,331"
102,AB Agarkar,Delhi Daredevils,-15,-0.057,0.049,"$210,000","$518,230"
103,I Malhotra,Deccan Chargers,-16,-0.059000000000000004,0.001,NA,"$516,530"
104,SA Asnodkar,Rajasthan Royals,-17,-0.062,0.0,NA,"$513,979"
105,SD Chitnis,Kings XI Punjab,-17,-0.062,0.002,NA,"$513,979"
106,EJG Morgan,Kolkata Knight Riders,-18,-0.067,0.031,"$350,000","$509,729"
107,I Sharma,Deccan Chargers,-18,-0.067,0.077,"$450,000","$509,729"
108,NJ Rimmington,Kings XI Punjab,-18,-0.067,0.001,"$20,000","$509,729"
109,P Prasanth,Kochi Tuskers Kerala,-18,-0.067,0.0,NA,"$509,729"
110,RP Singh,Kochi Tuskers Kerala,-19,-0.071,0.094,"$500,000","$506,328"
111,B Chipli,Deccan Chargers,-20,-0.073,0.049,NA,"$504,628"
112,AA Kazi,Royal Challengers Bangalore,-20,-0.07400000000000001,0.001,NA,"$503,778"
113,MV Boucher,Kolkata Knight Riders,-20,-0.07400000000000001,0.001,"$325,000","$503,778"
114,S Anirudha,Chennai Super Kings,-20,-0.075,0.018000000000000002,NA,"$502,928"
115,PR Shah,Rajasthan Royals,-21,-0.077,0.001,NA,"$501,227"
116,Pankaj Singh,Rajasthan Royals,-23,-0.085,0.001,NA,"$494,426"
117,IR Jaggi,Deccan Chargers,-24,-0.08800000000000001,0.005,NA,"$491,876"
118,VR Aaron,Delhi Daredevils,-25,-0.094,0.02,NA,"$486,775"
119,AA Chavan,Rajasthan Royals,-26,-0.096,0.004,NA,"$485,075"
120,MJ Lumb,Deccan Chargers,-26,-0.096,0.0,"$80,000","$485,075"
121,A Singh,Rajasthan Royals,-29,-0.109,0.059000000000000004,NA,"$474,023"
122,M Klinger,Kochi Tuskers Kerala,-29,-0.109,0.02,"$75,000","$474,023"
123,PA Patel,Kochi Tuskers Kerala,-29,-0.109,0.044000000000000004,"$290,000","$474,023"
124,CA Ingram,Delhi Daredevils,-30,-0.11,0.005,"$100,000","$473,173"
125,P Parameswaran,Kochi Tuskers Kerala,-30,-0.11,0.026000000000000002,NA,"$473,173"
126,Mandeep Singh,Kings XI Punjab,-30,-0.113,0.01,NA,"$470,622"
127,MS Bisla,Kolkata Knight Riders,-31,-0.11599999999999999,0.017,NA,"$468,072"
128,STR Binny,Rajasthan Royals,-32,-0.11800000000000001,0.009000000000000001,NA,"$466,372"
129,RW Price,Mumbai Indians,-33,-0.122,0.0,NA,"$462,971"
130,R McLaren,Kings XI Punjab,-33,-0.124,0.054000000000000006,"$250,000","$461,271"
131,NL McCullum,Pune Warriors,-34,-0.126,0.006999999999999999,"$100,000","$459,571"
132,Sunny Singh,Kings XI Punjab,-34,-0.128,0.008,NA,"$457,870"
133,B Akhil,Kochi Tuskers Kerala,-35,-0.129,0.001,NA,"$457,020"
134,AC Blizzard,Mumbai Indians,-35,-0.13,0.025,"$20,000","$456,170"
135,SB Wagh,Pune Warriors,-36,-0.132,0.033,NA,"$454,470"
136,DS Kulkarni,Mumbai Indians,-36,-0.133,0.035,NA,"$453,620"
137,M Kaif,Royal Challengers Bangalore,-36,-0.135,0.009000000000000001,"$130,000","$451,920"
138,MD Mishra,Pune Warriors,-36,-0.135,0.011000000000000001,NA,"$451,920"
139,S Sreesanth,Kochi Tuskers Kerala,-37,-0.138,0.053,"$900,000","$449,369"
140,RA Jadeja,Kochi Tuskers Kerala,-38,-0.14,0.126,"$950,000","$447,669"
141,L Ablish,Kings XI Punjab,-39,-0.145,0.001,NA,"$443,418"
142,MA Agarwal,Royal Challengers Bangalore,-40,-0.147,0.033,NA,"$441,718"
143,JDP Oram,Rajasthan Royals,-40,-0.14800000000000002,0.006,"$250,000","$440,868"
144,AB Dinda,Delhi Daredevils,-41,-0.151,0.024,"$375,000","$438,317"
145,AB McDonald,Delhi Daredevils,-41,-0.151,0.002,"$80,000","$438,317"
146,S Ladda,Kolkata Knight Riders,-41,-0.152,0.001,NA,"$437,467"
147,TD Paine,Pune Warriors,-42,-0.155,0.002,"$270,000","$434,917"
148,CA Pujara,Royal Challengers Bangalore,-43,-0.161,0.006,"$700,000","$429,816"
149,RJ Harris,Kings XI Punjab,-44,-0.163,0.105,"$325,000","$428,116"
150,KB Arun Karthik,Royal Challengers Bangalore,-45,-0.166,0.001,NA,"$425,565"
151,Kamran Khan,Pune Warriors,-47,-0.174,0.001,NA,"$418,764"
152,S Sriram,Delhi Daredevils,-47,-0.174,0.001,NA,"$418,764"
153,SP Goswami,Kolkata Knight Riders,-48,-0.18,0.006999999999999999,NA,"$413,663"
154,U Chand,None,-50,-0.184,0.001,NA,"$410,263"
155,TR Birt,Delhi Daredevils,-52,-0.193,0.011000000000000001,"$20,000","$402,612"
156,AG Paunikar,Rajasthan Royals,-52,-0.19399999999999998,0.01,NA,"$401,762"
157,LA Pomersbach,Royal Challengers Bangalore,-52,-0.19399999999999998,0.006999999999999999,"$50,000","$401,762"
158,MS Wade,Delhi Daredevils,-55,-0.20600000000000002,0.003,"$100,000","$391,560"
159,JD Ryder,Pune Warriors,-56,-0.209,0.08,"$150,000","$389,010"
160,TG Southee,Chennai Super Kings,-58,-0.214,0.018000000000000002,NA,"$384,759"
161,Joginder Sharma,Chennai Super Kings,-58,-0.215,0.001,"$150,000","$383,909"
162,KM Jadhav,Kochi Tuskers Kerala,-59,-0.221,0.002,NA,"$378,808"
163,TM Dilshan,Royal Challengers Bangalore,-60,-0.222,0.057999999999999996,"$650,000","$377,958"
164,SK Trivedi,Rajasthan Royals,-61,-0.225,0.045,NA,"$375,407"
165,GC Smith,Pune Warriors,-61,-0.22699999999999998,0.009000000000000001,"$500,000","$373,707"
166,AA Jhunjhunwala,Pune Warriors,-62,-0.22899999999999998,0.003,NA,"$372,007"
167,ND Doshi,Rajasthan Royals,-62,-0.23,0.008,NA,"$371,157"
168,DJ Jacobs,Mumbai Indians,-63,-0.23399999999999999,0.02,"$190,000","$367,756"
169,S Nadeem,Delhi Daredevils,-64,-0.23600000000000002,0.023,NA,"$366,056"
170,JP Duminy,Deccan Chargers,-64,-0.23800000000000002,0.077,"$300,000","$364,356"
171,IK Pathan,Delhi Daredevils,-68,-0.251,0.11800000000000001,"$1,900,000","$353,304"
172,R Sathish,Mumbai Indians,-68,-0.251,0.006999999999999999,NA,"$353,304"
173,SB Jakati,Chennai Super Kings,-74,-0.27399999999999997,0.05,NA,"$333,751"
174,RR Powar,Kochi Tuskers Kerala,-75,-0.27899999999999997,0.013000000000000001,"$180,000","$329,500"
